First,Last, Team, Att, Comp, Pct Comp, Yds, Yds per Att, TD, Pct TD, Long, Int, Pct Int, Rating Pts
Philip,Rivers,SD,478,312,65.3,4009,8.39,34,7.1,67,11,2.3,105.5
Chad,Pennington,MIA,476,321,67.4,3653,7.67,19,4,80,7,1.5,97.4
Kurt,Warner,ARI,598,401,67.1,4583,7.66,30,5,79,14,2.3,96.9
Drew,Brees,NO,635,413,65,5069,7.98,34,5.4,84,17,2.7,96.2
Peyton,Manning,IND,555,371,66.8,4002,7.21,27,4.9,75,12,2.2,95
Aaron,Rodgers,GB,536,341,63.6,4038,7.53,28,5.2,71,13,2.4,93.8
Matt,Schaub,HOU,380,251,66.1,3043,8.01,15,3.9,65,10,2.6,92.7
Tony,Romo,DAL,450,276,61.3,3448,7.66,26,5.8,75,14,3.1,91.4
Jeff,Garcia,TB,376,244,64.9,2712,7.21,12,3.2,71,6,1.6,90.2
Matt,Cassel,NE,516,327,63.4,3693,7.16,21,4.1,76,11,2.1,89.4
Matt,Ryan,ATL,434,265,61.1,3440,7.93,16,3.7,70,11,2.5,87.7
Shaun,Hill,SF,288,181,62.8,2046,7.1,13,4.5,48,8,2.8,87.5
Seneca,Wallace,SEA,242,141,58.3,1532,6.33,11,4.5,90,3,1.2,87
Eli,Manning,NYG,479,289,60.3,3238,6.76,21,4.4,48,10,2.1,86.4
Donovan,McNabb,PHI,571,345,60.4,3916,6.86,23,4,90,11,1.9,86.4
Jay,Cutler,DEN,616,384,62.3,4526,7.35,25,4.1,93,18,2.9,86
Trent,Edwards,BUF,374,245,65.5,2699,7.22,11,2.9,65,10,2.7,85.4
Jake,Delhomme,CAR,414,246,59.4,3288,7.94,15,3.6,65,12,2.9,84.7
Jason,Campbell,WAS,506,315,62.3,3245,6.41,13,2.6,67,6,1.2,84.3
David,Garrard,JAC,535,335,62.6,3620,6.77,15,2.8,41,13,2.4,81.7
Brett,Favre,NYJ,522,343,65.7,3472,6.65,22,4.2,56,22,4.2,81
Joe,Flacco,BAL,428,257,60,2971,6.94,14,3.3,70,12,2.8,80.3
Kerry,Collins,TEN,415,242,58.3,2676,6.45,12,2.9,56,7,1.7,80.2
Ben,Roethlisberger,PIT,469,281,59.9,3301,7.04,17,3.6,65,15,3.2,80.1
Kyle,Orton,CHI,465,272,58.5,2972,6.39,18,3.9,65,12,2.6,79.6
JaMarcus,Russell,OAK,368,198,53.8,2423,6.58,13,3.5,84,8,2.2,77.1
Tyler,Thigpen,KC,420,230,54.8,2608,6.21,18,4.3,75,12,2.9,76
Gus,Frerotte,MIN,301,178,59.1,2157,7.17,12,4,99,15,5,73.7
Dan,Orlovsky,DET,255,143,56.1,1616,6.34,8,3.1,96,8,3.1,72.6
Marc,Bulger,STL,440,251,57,2720,6.18,11,2.5,80,13,3,71.4
Ryan,Fitzpatrick,CIN,372,221,59.4,1905,5.12,8,2.2,79,9,2.4,70
Derek,Anderson,CLE,283,142,50.2,1615,5.71,9,3.2,70,8,2.8,66.5
